Number of true negative reads: 1857.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
0227c12a-5f6c-50e2-c4ea-b31bea14bb95	-	-	*	*
2f05773b-92d0-af82-4fb1-9d0f71c38c6a	-	-	*	*
484c35fc-5e39-48d8-eb93-59980b61d622	-	-	*	*
27767a87-7ead-fbba-ce95-120d544a29df	-	-	*	*
57aa44f1-c06c-23b3-4622-f63f2e3406ff	-	-	*	*
28d69dc1-d631-0204-d0ca-fa1b2dbe2a91	-	-	*	*
c2a01c81-36c0-edd3-38ce-2a3e1c62da11	-	-	*	*
3f4f4200-8daf-3836-305c-a14747467eb2	-	-	*	*
075904c1-e0f1-4cff-f020-eb5b2a6fb1ff	-	-	*	*
74a54452-ba60-9ee5-ebae-68f5c4e6d32b	-	-	*	*
5688f604-6750-1ed1-234e-f42b34c11c3f	-	-	*	*
b8672640-6c74-f445-bd6d-573d5f67af11	-	-	*	*
ce325488-6320-8951-4129-b30083d1328a	-	-	*	*
291bde6c-69b7-af07-7846-d0e36f6f2b3a	-	-	*	*
75d12151-54ba-059e-b8d0-8650814f727e	-	-	*	*
67aa7c69-01cb-32c3-07cf-5fceb76c6871	-	-	*	*
d306c7ab-322b-6bd1-1aa2-f09f8c469183	-	-	*	*
3eeefed5-021b-050d-029f-1e9d9b0dfc6d	-	-	*	*
8d4be3e4-0481-a4c4-c828-af68a8157673	-	-	*	*
d8c5ad6f-9480-e31f-2070-0f9f579c2455	-	-	*	*
8d6682a0-e258-b7eb-1e4c-05ec89fe7901	-	-	*	*
1caa97e0-53f5-5697-d903-9fee5d39bdc3	-	-	*	*
7d0ebe05-7b5d-6534-3122-08b293c40ce8	-	-	*	*
7e226d6c-908c-ff9b-2c00-5eca48d126ce	-	-	*	*
8d516ead-3fc6-9f96-854b-5b6106089471	-	-	*	*
ef365e10-fcef-c7fb-47fa-1932501dffad	-	-	*	*
5adf3a40-cfa7-fa24-e859-e8f7a26cb6dc	-	-	*	*
b0d6daad-fb4f-d04b-074e-11cd605b0854	-	-	*	*
1c183a69-0bb8-d55e-70b9-2692bd30bf75	-	-	*	*
f9ccd228-2e5f-6724-cbc9-50c2eeb47a45	-	-	*	*
cd5c5b99-93a8-19e7-d7d3-f5339fa66371	-	-	*	*
4c1196c9-eb61-a158-d0de-69971c20cea5	-	-	*	*
7e575bd0-42b7-2fe3-2a04-42a7824c94bb	-	-	*	*
96fedb66-b0a6-848e-bc39-9391391bcdd3	-	-	*	*
c28f23f2-3e3e-c923-b29b-a236a8d850ef	-	-	*	*
4d9a233e-52fb-a7d0-9d2c-04aca54f5d79	-	-	*	*
8b01406c-2a38-77c6-cbcf-ab0ece46182b	-	-	*	*
2f4b0278-56c4-4799-1a88-f8428106bdf6	-	-	*	*
b9d72b42-391e-5c5b-ab64-450efb48f05d	-	-	*	*
a65f7232-c6c9-0d33-66fc-a2ed864e86fe	-	-	*	*
5c5f782b-d80b-b5b8-0c2b-51ff7b5636d1	-	-	*	*
00de20bb-6520-0e2a-e8ec-e06fb2cddf10	-	-	*	*
3d92eea8-eb1a-3a38-d0f6-929747c4c2ae	-	-	*	*
