Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
bb1b8fb6-e71c-e43d-333e-438243c6d3cb	-	-	*	*
d65558a3-4231-f2cc-67ee-39b4cee6c137	1423	1386	*	*
91635b34-e573-d6a8-1dd0-07418a36cdf7	1280	1279	*	*
56393549-1eb8-3d66-c327-f7a6a1c98565	562	561	*	*
88bd5efc-c777-e429-4f60-2df791d59f0a	1423	1386	*	*
45bb5218-94b9-8a82-925f-0fda687cccdf	-	-	*	*
ed9d0260-022f-38b9-cb49-ff9f0e354a17	1613	2742598	*	*
adfb8ea3-1096-b298-019f-f5cb9f45d791	287	286	*	*
64052d5e-2245-e629-013a-ba2b994d408a	28901	590	*	*
b6d8199c-e31b-8d0d-d59c-226063a89b64	1280	1279	*	*
0fa71fa3-d43b-e435-3575-b7dfb8ddd8a5	-	-	*	*
367d884d-0b57-5977-3ed0-741257f04814	287	286	*	*
0db0c7ea-b87c-c5ea-fd82-d93e653c5f35	-	-	*	*
f5c11e89-9d52-9cd1-819e-6fda82933d28	-	-	*	*
d0ecc49f-400b-7ef3-461b-0c3b6a642cff	-	-	*	*
ebb8fb94-170c-5db7-f14e-80c207721ebc	-	-	*	*
602e8991-8c98-3fc5-9e2c-9384401b9aab	-	-	*	*
043a8dbf-6185-f269-09db-7a42c1298058	-	-	*	*
5138cc68-b745-d282-d0af-62107b1d4d44	28901	590	*	*
22425817-b645-4a41-dff1-43dbd7067403	-	-	*	*
5cdcefc2-7654-ece6-d7f5-bd350d955621	287	286	*	*
cbe7e28e-b557-12c1-4394-9b6f93426e8b	-	-	*	*
0e28fa7b-39f4-2d32-ae9f-d386b1dd7712	28901	590	*	*
5775c16e-19d1-199d-9e54-ff498882c2e1	-	-	*	*
2f20fd26-5aa1-a125-4266-3e37d1b76dcb	-	-	*	*
ad108780-05a8-bbfc-aaa4-3856aa6757e5	-	-	*	*
e2783294-cc4d-b314-c81f-b847e47ee2fb	1613	2742598	*	*
b203aa72-7797-74d0-735d-6c042ba4a407	-	-	*	*
5f6cd779-1122-09cd-638a-2ed86369e1f1	28901	590	*	*
e21d8df3-514c-1f93-0e16-cf9537e87ba2	287	286	*	*
0501083d-0a90-9d92-7384-616a30b81faa	562	561	*	*
8d37347f-b1a6-1c87-3782-ae428542dfd6	-	-	*	*
411bcae2-8891-b472-3167-beed30c6d501	-	-	*	*
caef7701-feb6-43a0-e7cc-176e100a9ba5	1280	1279	*	*
a48acc0f-bb8d-078b-12eb-f0ae480821bb	1351	1350	*	*
4036a1ff-fc36-fa1f-39e2-b62bd59528bc	-	-	*	*
